Country,Region,Subregion,Indicator,Dimension,Category,Year,Group
Hungary,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2014,Police
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2014,Police
Mexico,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2014,Police
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2014,Police
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2014,Police
Slovakia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2014,Police
Hungary,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2015,Police
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2015,Police
Mexico,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2015,Police
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2015,Police
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2015,Police
Slovakia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2015,Police
Bosnia and Herzegovina,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2016,Police
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2016,Police
France,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2016,Police
Hungary,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2016,Police
Lithuania,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2016,Police
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2016,Police
Mexico,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2016,Police
Mongolia,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2016,Police
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2016,Police
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2016,Police
El Salvador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2016,Police
Slovakia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2016,Police
Kosovo under UNSCR 1244,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2016,Police
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2017,Police
Hungary,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2017,Police
Mexico,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2017,Police
Mongolia,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2017,Police
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2017,Police
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2017,Police
El Salvador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2017,Police
Colombia,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2018,Police
Dominica,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2018,Police
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2018,Police
Hungary,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2018,Police
Ireland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2018,Police
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2018,Police
Mexico,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2018,Police
Mongolia,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2018,Police
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2018,Police
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2018,Police
El Salvador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2018,Police
Bosnia and Herzegovina,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2019,Police
Colombia,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2019,Police
Dominica,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2019,Police
Dominican Republic,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2019,Police
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2019,Police
Guatemala,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2019,Police
Hungary,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2019,Police
Ireland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2019,Police
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2019,Police
Mexico,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2019,Police
Mongolia,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2019,Police
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2019,Police
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2019,Police
Paraguay,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2019,Police
El Salvador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2019,Police
Slovakia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2019,Police
Brazil,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2020,Police
Colombia,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2020,Police
Dominica,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2020,Police
Ecuador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2020,Police
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2020,Police
Guyana,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2020,Police
Hungary,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2020,Police
Ireland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2020,Police
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2020,Police
Mexico,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2020,Police
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2020,Police
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2020,Police
El Salvador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2020,Police
Slovakia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2020,Police
Bosnia and Herzegovina,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2021,Police
Brazil,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2021,Police
Colombia,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2021,Police
Dominica,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2021,Police
Ecuador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2021,Police
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2021,Police
Guyana,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2021,Police
Honduras,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2021,Police
Hungary,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2021,Police
Ireland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2021,Police
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2021,Police
Mexico,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2021,Police
Mongolia,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2021,Police
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2021,Police
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2021,Police
El Salvador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2021,Police
Slovakia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2021,Police
Bosnia and Herzegovina,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2022,Police
Brazil,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2022,Police
Ecuador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2022,Police
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2022,Police
Guyana,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2022,Police
Hungary,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2022,Police
Ireland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2022,Police
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2022,Police
Mexico,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2022,Police
Mongolia,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2022,Police
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2022,Police
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2022,Police
Slovakia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2022,Police
Bosnia and Herzegovina,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2023,Police
Brazil,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2023,Police
Ecuador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2023,Police
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2023,Police
Guatemala,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2023,Police
Guyana,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2023,Police
Hungary,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2023,Police
Ireland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2023,Police
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2023,Police
Mexico,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2023,Police
Mongolia,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2023,Police
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2023,Police
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2023,Police
Slovakia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for prevention,2023,Police
Chile,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2014,Police
Hungary,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2014,Police
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2014,Police
Mexico,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2014,Police
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2014,Police
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2014,Police
Slovenia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2014,Police
Chile,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2015,Police
Hungary,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2015,Police
Liechtenstein,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2015,Police
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2015,Police
Mexico,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2015,Police
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2015,Police
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2015,Police
Slovenia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2015,Police
Albania,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2016,Police
Bosnia and Herzegovina,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2016,Police
Chile,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2016,Police
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2016,Police
Estonia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2016,Police
France,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2016,Police
Hungary,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2016,Police
Liechtenstein,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2016,Police
Lithuania,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2016,Police
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2016,Police
Mexico,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2016,Police
Mongolia,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2016,Police
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2016,Police
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2016,Police
El Salvador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2016,Police
Slovenia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2016,Police
Kosovo under UNSCR 1244,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2016,Police
Albania,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2017,Police
Belgium,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2017,Police
Chile,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2017,Police
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2017,Police
Estonia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2017,Police
Hungary,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2017,Police
Liechtenstein,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2017,Police
Mexico,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2017,Police
Mongolia,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2017,Police
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2017,Police
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2017,Police
El Salvador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2017,Police
Slovenia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2017,Police
Albania,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2018,Police
Belgium,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2018,Police
Colombia,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2018,Police
Dominica,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2018,Police
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2018,Police
Estonia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2018,Police
Hungary,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2018,Police
Ireland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2018,Police
Liechtenstein,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2018,Police
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2018,Police
Mexico,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2018,Police
Mongolia,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2018,Police
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2018,Police
Panama,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2018,Police
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2018,Police
El Salvador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2018,Police
Slovenia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2018,Police
Albania,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2019,Police
Belgium,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2019,Police
Bosnia and Herzegovina,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2019,Police
Colombia,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2019,Police
Dominica,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2019,Police
Dominican Republic,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2019,Police
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2019,Police
Estonia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2019,Police
Guatemala,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2019,Police
Hungary,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2019,Police
Ireland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2019,Police
Liechtenstein,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2019,Police
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2019,Police
Mexico,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2019,Police
Montenegro,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2019,Police
Mongolia,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2019,Police
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2019,Police
Panama,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2019,Police
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2019,Police
