Country,Region,Subregion,Indicator,Dimension,Category,Sex,Year,VALUE
Albania,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2003,51.0
Armenia,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2003,15.0
Australia,Oceania,Australia and New Zealand,Persons convicted,by selected crime,Rape,Total,2003,1247.0
Austria,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2003,129.0
Bulgaria,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2003,184.0
Belarus,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2003,331.0
Bermuda,Americas,Northern America,Persons convicted,by selected crime,Rape,Total,2003,36.0
Canada,Americas,Northern America,Persons convicted,by selected crime,Rape,Total,2003,2273.0
Switzerland,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2003,104.0
Costa Rica,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2003,138.0
Cyprus,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2003,6.0
Germany,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2003,1095.0
Denmark,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2003,67.0
Algeria,Africa,Northern Africa,Persons convicted,by selected crime,Rape,Total,2003,113.0
Estonia,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2003,33.0
Finland,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2003,67.0
France,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2003,1710.0
United Kingdom (England and Wales),Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2003,673.0
United Kingdom (Scotland),Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2003,62.0
Georgia,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2003,27.0
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Persons convicted,by selected crime,Rape,Total,2003,13.0
Croatia,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2003,63.0
Hungary,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2003,287.0
Ireland,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2003,53.0
Iceland,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2003,9.0
Israel,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2003,124.0
Italy,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2003,1540.0
Japan,Asia,Eastern Asia,Persons convicted,by selected crime,Rape,Total,2003,777.0
Kyrgyzstan,Asia,Central Asia,Persons convicted,by selected crime,Rape,Total,2003,257.0
Republic of Korea,Asia,Eastern Asia,Persons convicted,by selected crime,Rape,Total,2003,1723.0
Latvia,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2003,66.0
Monaco,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2003,0.0
Republic of Moldova,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2003,196.0
Mexico,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2003,3069.0
North Macedonia,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2003,20.0
Mongolia,Asia,Eastern Asia,Persons convicted,by selected crime,Rape,Total,2003,171.0
Mauritius,Africa,Sub-Saharan Africa,Persons convicted,by selected crime,Rape,Total,2003,10.0
Netherlands (Kingdom of the),Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2003,335.0
Norway,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2003,86.0
Poland,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2003,1069.0
Portugal,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2003,55.0
State of Palestine,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2003,1.0
Romania,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2003,792.0
Slovakia,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2003,79.0
Slovenia,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2003,26.0
Sweden,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2003,132.0
Turkmenistan,Asia,Central Asia,Persons convicted,by selected crime,Rape,Total,2003,74.0
Türkiye,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2003,7827.0
Uganda,Africa,Sub-Saharan Africa,Persons convicted,by selected crime,Rape,Total,2003,2.0
Ukraine,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2003,695.0
Zimbabwe,Africa,Sub-Saharan Africa,Persons convicted,by selected crime,Rape,Total,2003,609.0
Albania,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2004,39.0
Armenia,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2004,5.0
Australia,Oceania,Australia and New Zealand,Persons convicted,by selected crime,Rape,Total,2004,1171.0
Austria,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2004,114.0
Azerbaijan,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2004,39.0
Bulgaria,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2004,191.0
Belarus,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2004,318.0
Canada,Americas,Northern America,Persons convicted,by selected crime,Rape,Total,2004,2411.0
Switzerland,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2004,127.0
Costa Rica,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2004,172.0
Cyprus,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2004,7.0
Czechia,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2004,183.0
Germany,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2004,1095.0
Denmark,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2004,56.0
Algeria,Africa,Northern Africa,Persons convicted,by selected crime,Rape,Total,2004,175.0
Estonia,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2004,50.0
Finland,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2004,99.0
France,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2004,1759.0
United Kingdom (England and Wales),Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2004,751.0
United Kingdom (Scotland),Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2004,47.0
Georgia,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2004,33.0
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Persons convicted,by selected crime,Rape,Total,2004,12.0
Croatia,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2004,64.0
Hungary,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2004,144.0
India,Asia,Southern Asia,Persons convicted,by selected crime,Rape,Total,2004,4947.0
Ireland,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2004,27.0
Iceland,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2004,3.0
Israel,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2004,135.0
Italy,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2004,1753.0
Japan,Asia,Eastern Asia,Persons convicted,by selected crime,Rape,Total,2004,709.0
Kazakhstan,Asia,Central Asia,Persons convicted,by selected crime,Rape,Total,2004,701.0
Kyrgyzstan,Asia,Central Asia,Persons convicted,by selected crime,Rape,Total,2004,213.0
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2004,3.0
Republic of Korea,Asia,Eastern Asia,Persons convicted,by selected crime,Rape,Total,2004,1487.0
Latvia,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2004,55.0
Monaco,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2004,1.0
Republic of Moldova,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2004,225.0
Mexico,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2004,4036.0
North Macedonia,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2004,33.0
Mongolia,Asia,Eastern Asia,Persons convicted,by selected crime,Rape,Total,2004,192.0
Mauritius,Africa,Sub-Saharan Africa,Persons convicted,by selected crime,Rape,Total,2004,12.0
Netherlands (Kingdom of the),Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2004,351.0
Norway,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2004,48.0
Poland,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2004,1344.0
Portugal,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2004,50.0
State of Palestine,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2004,1.0
Romania,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2004,572.0
Russian Federation,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2004,9339.0
Slovakia,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2004,73.0
Slovenia,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2004,23.0
Sweden,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2004,153.0
Syrian Arab Republic,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2004,30.0
Turkmenistan,Asia,Central Asia,Persons convicted,by selected crime,Rape,Total,2004,74.0
Türkiye,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2004,7646.0
Uganda,Africa,Sub-Saharan Africa,Persons convicted,by selected crime,Rape,Total,2004,4.0
Ukraine,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2004,640.0
Zimbabwe,Africa,Sub-Saharan Africa,Persons convicted,by selected crime,Rape,Total,2004,729.0
Albania,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2005,31.0
Argentina,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2005,61.0
Australia,Oceania,Australia and New Zealand,Persons convicted,by selected crime,Rape,Total,2005,1290.0
Austria,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2005,108.0
Azerbaijan,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2005,35.0
Bulgaria,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2005,195.0
Canada,Americas,Northern America,Persons convicted,by selected crime,Rape,Total,2005,2355.0
Switzerland,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2005,122.0
Colombia,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2005,3832.0
Costa Rica,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2005,156.0
Cyprus,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2005,14.0
Czechia,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2005,157.0
Germany,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2005,1080.0
Denmark,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2005,62.0
Finland,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2005,98.0
France,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2005,1801.0
United Kingdom (England and Wales),Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2005,796.0
United Kingdom (Scotland),Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2005,41.0
Croatia,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2005,45.0
Hungary,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2005,123.0
India,Asia,Southern Asia,Persons convicted,by selected crime,Rape,Total,2005,5076.0
Israel,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2005,122.0
Italy,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2005,1380.0
Japan,Asia,Eastern Asia,Persons convicted,by selected crime,Rape,Total,2005,637.0
Kazakhstan,Asia,Central Asia,Persons convicted,by selected crime,Rape,Total,2005,773.0
Kyrgyzstan,Asia,Central Asia,Persons convicted,by selected crime,Rape,Total,2005,199.0
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2005,4.0
Republic of Korea,Asia,Eastern Asia,Persons convicted,by selected crime,Rape,Total,2005,1463.0
Lithuania,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2005,142.0
Latvia,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2005,89.0
Monaco,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2005,0.0
Republic of Moldova,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2005,242.0
Mexico,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2005,3983.0
Mongolia,Asia,Eastern Asia,Persons convicted,by selected crime,Rape,Total,2005,215.0
Mauritius,Africa,Sub-Saharan Africa,Persons convicted,by selected crime,Rape,Total,2005,10.0
Netherlands (Kingdom of the),Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2005,330.0
Norway,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2005,76.0
New Zealand,Oceania,Australia and New Zealand,Persons convicted,by selected crime,Rape,Total,2005,513.0
Poland,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2005,1188.0
Portugal,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2005,66.0
Romania,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2005,451.0
Russian Federation,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2005,9497.0
Serbia,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2005,72.0
Slovenia,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2005,21.0
Sweden,Europe,Northern Europe,Persons convicted,by selected crime,Rape,Total,2005,446.0
Syrian Arab Republic,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2005,36.0
Türkiye,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2005,8749.0
Ukraine,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2005,656.0
United States of America,Americas,Northern America,Persons convicted,by selected crime,Rape,Total,2005,399.0
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2005,2.0
Albania,Europe,Southern Europe,Persons convicted,by selected crime,Rape,Total,2006,27.0
Argentina,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2006,48.0
Armenia,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2006,7.0
Australia,Oceania,Australia and New Zealand,Persons convicted,by selected crime,Rape,Total,2006,1295.0
Austria,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2006,121.0
Azerbaijan,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2006,30.0
Bulgaria,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2006,258.0
Canada,Americas,Northern America,Persons convicted,by selected crime,Rape,Total,2006,2202.0
Switzerland,Europe,Western Europe,Persons convicted,by selected crime,Rape,Total,2006,149.0
Costa Rica,Americas,Latin America and the Caribbean,Persons convicted,by selected crime,Rape,Total,2006,124.0
Cyprus,Asia,Western Asia,Persons convicted,by selected crime,Rape,Total,2006,10.0
Czechia,Europe,Eastern Europe,Persons convicted,by selected crime,Rape,Total,2006,137.0
