Country,Region,Subregion,Indicator,Dimension,Category,Sex,Year
Bulgaria,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2004
Canada,Americas,Northern America,Persons prosecuted,by selected crime,Rape,Total,2004
Colombia,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2004
Cyprus,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2004
Czechia,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2004
Germany,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2004
Finland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2004
United Kingdom (England and Wales),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2004
United Kingdom (Scotland),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2004
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2004
Croatia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2004
Hungary,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2004
India,Asia,Southern Asia,Persons prosecuted,by selected crime,Rape,Total,2004
Ireland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2004
Iceland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2004
Japan,Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2004
Kuwait,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2004
Liechtenstein,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2004
Lithuania,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2004
Mexico,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2004
Montenegro,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2004
Norway,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2004
Panama,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2004
Portugal,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2004
Romania,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2004
Serbia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2004
Slovenia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2004
Sweden,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2004
United States of America,Americas,Northern America,Persons prosecuted,by selected crime,Rape,Total,2004
Andorra,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2005
Armenia,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2005
Austria,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2005
Bulgaria,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2005
Bahamas,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2005
Canada,Americas,Northern America,Persons prosecuted,by selected crime,Rape,Total,2005
Colombia,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2005
Costa Rica,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2005
Cyprus,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2005
Czechia,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2005
Germany,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2005
Finland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2005
United Kingdom (England and Wales),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2005
United Kingdom (Scotland),Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2005
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2005
Croatia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2005
Hungary,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2005
India,Asia,Southern Asia,Persons prosecuted,by selected crime,Rape,Total,2005
Ireland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2005
Iceland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2005
Japan,Asia,Eastern Asia,Persons prosecuted,by selected crime,Rape,Total,2005
Kuwait,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2005
Liechtenstein,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2005
Lithuania,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2005
Monaco,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2005
Republic of Moldova,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2005
Mexico,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2005
Montenegro,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2005
Netherlands (Kingdom of the),Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2005
Norway,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2005
New Zealand,Oceania,Australia and New Zealand,Persons prosecuted,by selected crime,Rape,Total,2005
Panama,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2005
Portugal,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2005
Romania,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2005
Serbia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2005
Slovenia,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2005
Sweden,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2005
Ukraine,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2005
United States of America,Americas,Northern America,Persons prosecuted,by selected crime,Rape,Total,2005
Albania,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2006
Andorra,Europe,Southern Europe,Persons prosecuted,by selected crime,Rape,Total,2006
Armenia,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2006
Austria,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2006
Bulgaria,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2006
Bahamas,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2006
Canada,Americas,Northern America,Persons prosecuted,by selected crime,Rape,Total,2006
Colombia,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2006
Costa Rica,Americas,Latin America and the Caribbean,Persons prosecuted,by selected crime,Rape,Total,2006
Cyprus,Asia,Western Asia,Persons prosecuted,by selected crime,Rape,Total,2006
Czechia,Europe,Eastern Europe,Persons prosecuted,by selected crime,Rape,Total,2006
Germany,Europe,Western Europe,Persons prosecuted,by selected crime,Rape,Total,2006
Algeria,Africa,Northern Africa,Persons prosecuted,by selected crime,Rape,Total,2006
Estonia,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2006
Finland,Europe,Northern Europe,Persons prosecuted,by selected crime,Rape,Total,2006
