Country,Region,Subregion,Indicator,Dimension,Category,Year
United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2003
Azerbaijan,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2003
Belgium,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2003
Bulgaria,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2003
Bahrain,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2003
Belarus,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2003
Bermuda,Americas,Northern America,Violent offences,by type of offence,Kidnapping,2003
Brunei Darussalam,Asia,South-eastern Asia,Violent offences,by type of offence,Kidnapping,2003
Canada,Americas,Northern America,Violent offences,by type of offence,Kidnapping,2003
Switzerland,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2003
Chile,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2003
Costa Rica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2003
Cyprus,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2003
Czechia,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2003
Algeria,Africa,Northern Africa,Violent offences,by type of offence,Kidnapping,2003
Egypt,Africa,Northern Africa,Violent offences,by type of offence,Kidnapping,2003
Estonia,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2003
Finland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2003
France,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2003
United Kingdom (England and Wales),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2003
United Kingdom (Northern Ireland),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2003
Georgia,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2003
Guinea,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2003
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,2003
Hungary,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2003
Ireland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2003
Italy,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2003
Japan,Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,2003
Kyrgyzstan,Asia,Central Asia,Violent offences,by type of offence,Kidnapping,2003
Sri Lanka,Asia,Southern Asia,Violent offences,by type of offence,Kidnapping,2003
Lithuania,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2003
Latvia,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2003
Morocco,Africa,Northern Africa,Violent offences,by type of offence,Kidnapping,2003
