Country,Region,Subregion,Dimension,Category,Sex,Year
Austria,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Male,2013
Canada,Americas,Northern America,by relationship to perpetrator,Intimate partner or family member,Male,2013
Switzerland,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Male,2013
Colombia,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2013
Czechia,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2013
Germany,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Male,2013
Finland,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2013
Hungary,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2013
Myanmar,Asia,South-eastern Asia,by relationship to perpetrator,Intimate partner or family member,Male,2013
Slovakia,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2013
Slovenia,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2013
Australia,Oceania,Australia and New Zealand,by relationship to perpetrator,Intimate partner or family member,Male,2014
Austria,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Male,2014
Canada,Americas,Northern America,by relationship to perpetrator,Intimate partner or family member,Male,2014
Switzerland,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Male,2014
Colombia,Americas,Latin America and the Caribbean,by relationship to perpetrator,Intimate partner or family member,Male,2014
Czechia,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2014
Germany,Europe,Western Europe,by relationship to perpetrator,Intimate partner or family member,Male,2014
Finland,Europe,Northern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2014
Hungary,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2014
Myanmar,Asia,South-eastern Asia,by relationship to perpetrator,Intimate partner or family member,Male,2014
Slovakia,Europe,Eastern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2014
Slovenia,Europe,Southern Europe,by relationship to perpetrator,Intimate partner or family member,Male,2014
